playlist,videoTitle,description,duration
Introduction to Statistics and Data Analysis,Introduction to Statistics and Data Analysis,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:22:21
Introduction to Statistics and Data Analysis,Population Statistics and Random Sampling,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:23:45
Introduction to Statistics and Data Analysis,Random Sampling in Statistics: Expected Value and Variance of the Sample Mean,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:16:07
Introduction to Statistics and Data Analysis,"Random Sampling Without Replacement (Finite ""n"" Correction)","This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:12:15
Introduction to Statistics and Data Analysis,Sample Variance,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:11:38
Introduction to Statistics and Data Analysis,Normal Approximation to Sample Mean,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:19:41
Introduction to Statistics and Data Analysis,Confidence Intervals,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:16:57
Introduction to Statistics and Data Analysis,Central Limit Theorem Example & Hypothesis Testing,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:09:33
Introduction to Statistics and Data Analysis,Hypothesis Testing in Statistics,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:24:55
Introduction to Statistics and Data Analysis,Hypothesis Testing Procedure,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:18:01
Introduction to Statistics and Data Analysis,Hypothesis Testing: Type I and Type II Errors,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:10:06
Introduction to Statistics and Data Analysis,Hypothesis Testing Example: Salk Vaccine Trial,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:16:06
Introduction to Statistics and Data Analysis,Two Sided Rejection Regions in Hypothesis Testing,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:12:20
Introduction to Statistics and Data Analysis,"Lies, Damn Lies, and Statistics... P-Hacking","This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:19:14
Introduction to Statistics and Data Analysis,Parameter Estimation and Fitting Distributions,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:24:13
Introduction to Statistics and Data Analysis,Method of Moments in Fitting Distributions from Data,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:11:02
Introduction to Statistics and Data Analysis,Error in the Method of Moments,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:18:41
Introduction to Statistics and Data Analysis,Bootstrapping and Monte Carlo Sampling in Statistics,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:16:59
Introduction to Statistics and Data Analysis,Maximum Likelihood Estimation (MLE) with Examples,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:23:46
Introduction to Statistics and Data Analysis,Maximum Likelihood Estimation Example: Fitting a Normal Distribution with Data,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:15:53
Introduction to Statistics and Data Analysis,Properties of Maximum Likelihood Estimation,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:14:00
Introduction to Statistics and Data Analysis,Bayesian Extension to Maximum Likelihood Estimation: Maximum Aposteriori Estimation (MAP),"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:12:59
Introduction to Statistics and Data Analysis,Consistency of Parameter Estimates in Statistics,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:10:24
Introduction to Statistics and Data Analysis,Are Two Distributions the Same?  The Chi-Squared Test in Statistics (with Python Example),"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:22:44
Introduction to Statistics and Data Analysis,Student's t-distribution in Statistics,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:16:39
Introduction to Statistics and Data Analysis,"Hypothesis Testing Revisited: Normal, t, and Chi-Squared Distribution Tests","This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:10:37
Introduction to Statistics and Data Analysis,Properties of Chi-Squared and Student's t Distributions,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:10:10
Introduction to Statistics and Data Analysis,Bayesian Inference: Overview,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:30:16
Introduction to Statistics and Data Analysis,Bayesian Updates and Conjugate Priors,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:17:38
Introduction to Statistics and Data Analysis,Conjugate Priors Example: Normal Distribution and the Exponential Family of Distributions,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:18:48
Introduction to Statistics and Data Analysis,Density Estimation with Gaussian Mixture Models (GMM) and Empirical Priors,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:18:16
Introduction to Statistics and Data Analysis,Monte Carlo Sampling and Bootstrapping in Bayesian Inference,"This video was produced at the University of Washington, and we acknowledge funding support from the Boeing Company",00:18:15
